epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,5037.73,0.68006,0.4942,1.00498,0.76049,0.70203,0.7229,0.55212,0.62827,0.33744,0.93615,0.0066538,0.0066538,0.0066538
171,364.524,0.62384,0.44627,0.98295,0.76615,0.69538,0.72344,0.55206,0.62835,0.33721,0.93627,0.006634,0.006634,0.006634
172,719.871,0.64833,0.46799,0.99472,0.76504,0.69468,0.72339,0.5516,0.6284,0.33768,0.93623,0.0066142,0.0066142,0.0066142
173,1075.67,0.65681,0.47392,0.99523,0.76164,0.69023,0.72011,0.55131,0.62859,0.33742,0.9363,0.0065944,0.0065944,0.0065944
174,1431.93,0.66211,0.48025,0.99965,0.76008,0.69058,0.71885,0.55089,0.62822,0.33728,0.93608,0.0065746,0.0065746,0.0065746
175,1788.51,0.66434,0.48038,1.00229,0.7629,0.69023,0.71875,0.54757,0.62839,0.33726,0.93607,0.0065548,0.0065548,0.0065548
176,2145.21,0.66971,0.48437,1.00386,0.75688,0.69538,0.72012,0.54731,0.62856,0.33731,0.93612,0.006535,0.006535,0.006535
177,2502.08,0.66823,0.48437,1.00291,0.75749,0.69473,0.72008,0.54726,0.62861,0.33709,0.9362,0.0065152,0.0065152,0.0065152
178,2859.05,0.67116,0.48558,1.00475,0.75727,0.69554,0.7206,0.54801,0.62847,0.33711,0.93616,0.0064954,0.0064954,0.0064954
179,3216.16,0.67449,0.48854,1.00428,0.76137,0.69381,0.71875,0.54655,0.62827,0.33739,0.93595,0.0064756,0.0064756,0.0064756
180,3573.53,0.67361,0.4912,1.00426,0.76191,0.69421,0.72143,0.54838,0.6283,0.33684,0.93605,0.0064558,0.0064558,0.0064558
